Season,Rank,Team,P,W,D,L,GF,GA,GD,Pts,GAVG,Summary
2022/2023,14,Athletic Bilbao,19,8,3,8,22,15,7,27,1.47,Home
2022/2023,15,Celta Vigo,19,7,6,6,26,21,5,27,1.24,Home
2022/2023,16,Getafe,19,7,6,6,21,20,1,27,1.05,Home
2022/2023,17,Cadiz,19,7,6,6,19,23,-4,27,0.83,Home
2022/2023,18,Sevilla,19,7,5,7,24,25,-1,26,0.96,Home
2022/2023,19,Espanyol,19,4,7,8,27,35,-8,19,0.77,Home
2022/2023,20,Elche,19,3,6,10,18,29,-11,15,0.62,Home
2010/2011,1,Barcelona,19,14,4,1,49,11,38,46,4.45,Away
2010/2011,2,Real Madrid,19,13,4,2,41,21,20,43,1.95,Away
2010/2011,3,Valencia,19,11,3,5,30,23,7,36,1.3,Away
2010/2011,4,Atletico Madrid,19,7,4,8,27,33,-6,25,0.82,Away
2010/2011,5,Sevilla,19,7,3,9,27,34,-7,24,0.79,Away
2010/2011,6,Malaga,19,6,4,9,25,39,-14,22,0.64,Away
2010/2011,7,Athletic Bilbao,19,6,3,10,27,35,-8,21,0.77,Away
2010/2011,8,Villarreal,19,5,5,9,21,30,-9,20,0.7,Away
2010/2011,9,Racing Santander,19,4,4,11,16,35,-19,16,0.46,Away
2010/2011,10,Real Zaragoza,19,3,6,10,14,26,-12,15,0.54,Away
2010/2011,11,Sporting Gijon,19,2,8,9,12,26,-14,14,0.46,Away
2010/2011,12,Levante,19,3,5,11,16,32,-16,14,0.5,Away
2010/2011,13,Getafe,19,3,5,11,16,34,-18,14,0.47,Away
2010/2011,14,Espanyol,19,4,2,13,13,33,-20,14,0.39,Away
2010/2011,15,Deportivo La Coruna,19,2,7,10,9,28,-19,13,0.32,Away
2010/2011,16,Mallorca,19,3,4,12,16,37,-21,13,0.43,Away
2010/2011,17,Osasuna,19,3,2,14,17,32,-15,11,0.53,Away
2010/2011,18,Almeria,19,3,2,14,13,35,-22,11,0.37,Away
2010/2011,19,Real Sociedad,19,3,1,15,22,45,-23,10,0.49,Away
2010/2011,20,Hercules,19,2,3,14,9,33,-24,9,0.27,Away
2011/2012,1,Real Madrid,19,16,2,1,51,13,38,50,3.92,Away
2011/2012,2,Barcelona,19,11,6,2,41,18,23,39,2.28,Away
2011/2012,3,Valencia,19,6,6,7,19,24,-5,24,0.79,Away
2011/2012,4,Mallorca,19,5,5,9,21,31,-10,20,0.68,Away
2011/2012,5,Sevilla,19,4,7,8,16,22,-6,19,0.73,Away
2011/2012,6,Levante,19,5,4,10,21,31,-10,19,0.68,Away
2011/2012,7,Real Betis,19,6,1,12,19,31,-12,19,0.61,Away
2011/2012,8,Athletic Bilbao,19,4,6,9,20,31,-11,18,0.65,Away
2011/2012,9,Atletico Madrid,19,4,6,9,17,29,-12,18,0.59,Away
2011/2012,10,Rayo Vallecano,19,5,3,11,24,47,-23,18,0.51,Away
2011/2012,11,Osasuna,19,3,9,7,18,42,-24,18,0.43,Away
2011/2012,12,Getafe,19,4,5,10,16,32,-16,17,0.5,Away
2011/2012,13,Malaga,19,4,4,11,19,32,-13,16,0.59,Away
2011/2012,14,Espanyol,19,3,6,10,15,32,-17,15,0.47,Away
2011/2012,15,Real Zaragoza,19,4,3,12,17,37,-20,15,0.46,Away
2011/2012,16,Real Sociedad,19,3,5,11,17,35,-18,14,0.49,Away
2011/2012,17,Villarreal,19,3,4,12,13,33,-20,13,0.39,Away
2011/2012,18,Granada,19,4,1,14,13,36,-23,13,0.36,Away
2011/2012,19,Sporting Gijon,19,3,3,13,18,43,-25,12,0.42,Away
2011/2012,20,Racing Santander,19,1,8,10,17,39,-22,11,0.44,Away
2012/2013,1,Barcelona,19,14,3,2,52,25,27,45,2.08,Away
2012/2013,2,Real Madrid,19,9,5,5,36,21,15,32,1.71,Away
2012/2013,3,Atletico Madrid,19,9,5,5,23,19,4,32,1.21,Away
2012/2013,4,Real Sociedad,19,8,5,6,29,27,2,29,1.07,Away
2012/2013,5,Real Betis,19,7,3,9,29,38,-9,24,0.76,Away
2012/2013,6,Valencia,19,6,5,8,25,29,-4,23,0.86,Away
2012/2013,7,Rayo Vallecano,19,7,2,10,23,37,-14,23,0.62,Away
2012/2013,8,Malaga,19,6,4,9,20,32,-12,22,0.63,Away
2012/2013,9,Espanyol,19,5,4,10,18,24,-6,19,0.75,Away
2012/2013,10,Athletic Bilbao,19,4,6,9,22,38,-16,18,0.58,Away
2012/2013,11,Levante,19,4,6,9,15,31,-16,18,0.48,Away
2012/2013,12,Granada,19,5,3,11,16,33,-17,18,0.48,Away
2012/2013,13,Real Valladolid,19,4,4,11,20,32,-12,16,0.63,Away
2012/2013,14,Getafe,19,4,4,11,18,34,-16,16,0.53,Away
2012/2013,15,Real Zaragoza,19,4,3,12,14,35,-21,15,0.4,Away
2012/2013,16,Osasuna,19,3,4,12,18,36,-18,13,0.5,Away
2012/2013,17,Deportivo La Coruna,19,2,6,11,24,44,-20,12,0.55,Away
2012/2013,18,Sevilla,19,1,7,11,17,33,-16,10,0.52,Away
2012/2013,19,Celta Vigo,19,3,1,15,14,31,-17,10,0.45,Away
2012/2013,20,Mallorca,19,2,4,13,17,42,-25,10,0.4,Away
2013/2014,1,Atletico Madrid,19,13,2,4,28,16,12,41,1.75,Away
2013/2014,2,Real Madrid,19,11,5,3,41,21,20,38,1.95,Away
2013/2014,3,Barcelona,19,11,4,4,36,18,18,37,2,Away
2013/2014,4,Athletic Bilbao,19,7,6,6,24,21,3,27,1.14,Away
2013/2014,5,Villarreal,19,8,2,9,24,23,1,26,1.04,Away
2013/2014,6,Sevilla,19,7,5,7,29,31,-2,26,0.94,Away
2013/2014,7,Celta Vigo,19,8,0,11,26,31,-5,24,0.84,Away
2013/2014,8,Real Sociedad,19,5,7,7,24,36,-12,22,0.67,Away
2013/2014,9,Levante,19,5,6,8,16,27,-11,21,0.59,Away
2013/2014,10,Malaga,19,4,7,8,15,25,-10,19,0.6,Away
2013/2014,11,Granada,19,5,4,10,14,34,-20,19,0.41,Away
2013/2014,12,Rayo Vallecano,19,5,4,10,18,44,-26,19,0.41,Away
2013/2014,13,Getafe,19,5,3,11,15,30,-15,18,0.5,Away
2013/2014,14,Espanyol,19,4,4,11,18,29,-11,16,0.62,Away
2013/2014,15,Valencia,19,3,7,9,16,29,-13,16,0.55,Away
2013/2014,16,Almeria,19,5,1,13,17,40,-23,16,0.43,Away
2013/2014,17,Osasuna,19,4,4,11,12,37,-25,16,0.32,Away
2013/2014,18,Elche,19,3,5,11,17,38,-21,14,0.45,Away
2013/2014,19,Real Valladolid,19,1,6,12,18,43,-25,9,0.42,Away
2013/2014,20,Real Betis,19,1,4,14,17,47,-30,7,0.36,Away
2014/2015,1,Barcelona,19,14,3,2,46,10,36,45,4.6,Away
2014/2015,2,Real Madrid,19,14,0,5,53,23,30,42,2.3,Away
2014/2015,3,Atletico Madrid,19,9,6,4,25,18,7,33,1.39,Away
2014/2015,4,Sevilla,19,9,3,7,32,32,0,30,1,Away
2014/2015,5,Valencia,19,7,8,4,28,22,6,29,1.27,Away
2014/2015,6,Athletic Bilbao,19,7,4,8,14,21,-7,25,0.67,Away
2014/2015,7,Villarreal,19,4,11,4,19,20,-1,23,0.95,Away
2014/2015,8,Rayo Vallecano,19,7,2,10,20,42,-22,23,0.48,Away
2014/2015,9,Celta Vigo,19,5,7,7,17,22,-5,22,0.77,Away
2014/2015,10,Malaga,19,6,2,11,16,28,-12,20,0.57,Away
2014/2015,11,Elche,19,5,5,9,16,31,-15,20,0.52,Away
2014/2015,12,Espanyol,19,5,4,10,24,32,-8,19,0.75,Away
2014/2015,13,Eibar,19,4,5,10,14,26,-12,17,0.54,Away
2014/2015,14,Almeria,19,5,1,13,15,36,-21,16,0.42,Away
2014/2015,15,Real Sociedad,19,2,8,9,15,30,-15,14,0.5,Away
2014/2015,16,Deportivo La Coruna,19,2,8,9,13,30,-17,14,0.43,Away
2014/2015,17,Getafe,19,4,2,13,17,42,-25,14,0.4,Away
2014/2015,18,Levante,19,3,4,12,14,37,-23,13,0.38,Away
2014/2015,19,Granada,19,3,4,12,16,47,-31,13,0.34,Away
2014/2015,20,Cordoba,19,2,5,12,10,35,-25,11,0.29,Away
2015/2016,1,Barcelona,19,13,3,3,45,15,30,42,3,Away
2015/2016,2,Real Madrid,19,12,5,2,40,18,22,41,2.22,Away
2015/2016,3,Atletico Madrid,19,13,1,5,30,11,19,40,2.73,Away
2015/2016,4,Celta Vigo,19,8,3,8,22,34,-12,27,0.65,Away
2015/2016,5,Athletic Bilbao,19,7,4,8,23,28,-5,25,0.82,Away
2015/2016,6,Villarreal,19,6,6,7,18,23,-5,24,0.78,Away
2015/2016,7,Real Sociedad,19,6,4,9,23,28,-5,22,0.82,Away
2015/2016,8,Deportivo La Coruna,19,4,10,5,20,27,-7,22,0.74,Away
2015/2016,9,Real Betis,19,5,6,8,17,29,-12,21,0.59,Away
2015/2016,10,Valencia,19,5,4,10,21,25,-4,19,0.84,Away
2015/2016,11,Malaga,19,4,6,9,12,20,-8,18,0.6,Away
2015/2016,12,Granada,19,4,4,11,20,38,-18,16,0.53,Away
2015/2016,13,Las Palmas,19,4,3,12,20,36,-16,15,0.56,Away
2015/2016,14,Eibar,19,3,5,11,23,39,-16,14,0.59,Away
2015/2016,15,Sporting Gijon,19,3,5,11,12,34,-22,14,0.35,Away
2015/2016,16,Espanyol,19,3,2,14,18,46,-28,11,0.39,Away
2015/2016,17,Getafe,19,3,2,14,14,47,-33,11,0.3,Away
2015/2016,18,Rayo Vallecano,19,1,7,11,23,44,-21,10,0.52,Away
2015/2016,19,Sevilla,19,0,9,10,13,29,-16,9,0.45,Away
2015/2016,20,Levante,19,1,3,15,14,44,-30,6,0.32,Away
2016/2017,1,Real Madrid,19,15,2,2,58,21,37,47,2.76,Away
2016/2017,2,Barcelona,19,13,3,3,52,20,32,42,2.6,Away
2016/2017,3,Atletico Madrid,19,9,7,3,30,13,17,34,2.31,Away
2016/2017,4,Villarreal,19,8,6,5,21,15,6,30,1.4,Away
2016/2017,5,Real Sociedad,19,9,2,8,29,29,0,29,1,Away
2016/2017,6,Espanyol,19,7,6,6,21,26,-5,27,0.81,Away
2016/2017,7,Deportivo Alaves,19,7,5,7,22,22,0,26,1,Away
2016/2017,8,Sevilla,19,7,5,7,30,33,-3,26,0.91,Away
2016/2017,9,Eibar,19,5,6,8,27,30,-3,21,0.9,Away
2016/2017,10,Athletic Bilbao,19,6,2,11,17,25,-8,20,0.68,Away
2016/2017,11,Valencia,19,5,3,11,24,33,-9,18,0.73,Away
2016/2017,12,Celta Vigo,19,4,4,11,23,37,-14,16,0.62,Away
2016/2017,13,Malaga,19,2,8,9,17,30,-13,14,0.57,Away
2016/2017,14,Leganes,19,3,5,11,14,32,-18,14,0.44,Away
2016/2017,15,Real Betis,19,4,2,13,19,40,-21,14,0.48,Away
2016/2017,16,Sporting Gijon,19,2,6,11,16,34,-18,12,0.47,Away
2016/2017,17,Deportivo La Coruna,19,1,7,11,16,38,-22,10,0.42,Away
2016/2017,18,Osasuna,19,2,3,14,17,55,-38,9,0.31,Away
2016/2017,19,Las Palmas,19,1,3,15,20,49,-29,6,0.41,Away
2016/2017,20,Granada,19,0,4,15,13,50,-37,4,0.26,Away
2017/2018,1,Barcelona,19,12,6,1,46,18,28,42,2.56,Away
2017/2018,2,Atletico Madrid,19,11,4,4,28,14,14,37,2,Away
2017/2018,3,Real Madrid,19,10,6,3,40,24,16,36,1.67,Away
2017/2018,4,Valencia,19,9,4,6,29,22,7,31,1.32,Away
2017/2018,5,Real Betis,19,8,2,9,25,30,-5,26,0.83,Away
2017/2018,6,Villarreal,19,7,4,8,22,28,-6,25,0.79,Away
2017/2018,7,Getafe,19,6,6,7,16,20,-4,24,0.8,Away
2017/2018,8,Girona,19,6,6,7,24,37,-13,24,0.65,Away
2017/2018,9,Eibar,19,6,5,8,18,31,-13,23,0.58,Away
2017/2018,10,Sevilla,19,6,2,11,18,36,-18,20,0.5,Away
2017/2018,11,Deportivo Alaves,19,6,1,12,19,27,-8,19,0.7,Away
2017/2018,12,Espanyol,19,4,7,8,16,26,-10,19,0.62,Away
2017/2018,13,Levante,19,4,7,8,19,30,-11,19,0.63,Away
2017/2018,14,Athletic Bilbao,19,4,5,10,22,33,-11,17,0.67,Away
2017/2018,15,Celta Vigo,19,5,2,12,25,37,-12,17,0.68,Away
2017/2018,16,Real Sociedad,19,4,4,11,19,30,-11,16,0.63,Away
2017/2018,17,Leganes,19,3,3,13,15,32,-17,12,0.47,Away
2017/2018,18,Deportivo La Coruna,19,2,5,12,16,43,-27,11,0.37,Away
2017/2018,19,Las Palmas,19,1,5,13,9,36,-27,8,0.25,Away
2017/2018,20,Malaga,19,1,2,16,10,34,-24,5,0.29,Away
2018/2019,1,Barcelona,19,11,6,2,39,19,20,39,2.05,Away
2018/2019,2,Valencia,19,8,6,5,27,23,4,30,1.17,Away
2018/2019,3,Atletico Madrid,19,7,7,5,23,19,4,28,1.21,Away
2018/2019,4,Real Madrid,19,8,4,7,31,31,0,28,1,Away
2018/2019,5,Getafe,19,4,11,4,20,22,-2,23,0.91,Away
2018/2019,6,Real Sociedad,19,6,5,8,22,26,-4,23,0.85,Away
2018/2019,7,Girona,19,6,4,9,20,25,-5,22,0.8,Away
2018/2019,8,Villarreal,19,5,6,8,21,26,-5,21,0.81,Away
2018/2019,9,Real Betis,19,6,3,10,19,26,-7,21,0.73,Away
2018/2019,10,Real Valladolid,19,5,6,8,16,25,-9,21,0.64,Away
2018/2019,11,Deportivo Alaves,19,6,3,10,20,31,-11,21,0.65,Away
2018/2019,12,Sevilla,19,5,5,9,23,27,-4,20,0.85,Away
2018/2019,13,Levante,19,5,4,10,25,32,-7,19,0.78,Away
2018/2019,14,Athletic Bilbao,19,4,6,9,15,26,-11,18,0.58,Away
2018/2019,15,Espanyol,19,3,8,8,20,28,-8,17,0.71,Away
2018/2019,16,Leganes,19,4,4,11,18,27,-9,16,0.67,Away
2018/2019,17,Eibar,19,2,8,9,15,29,-14,14,0.52,Away
2018/2019,18,Celta Vigo,19,2,6,11,22,37,-15,12,0.59,Away
2018/2019,19,Huesca,19,2,6,11,19,35,-16,12,0.54,Away
2018/2019,20,Rayo Vallecano,19,3,2,14,16,38,-22,11,0.42,Away
2019/2020,1,Real Madrid,19,11,5,3,30,14,16,38,2.14,Away
2019/2020,2,Sevilla,19,9,6,4,28,20,8,33,1.4,Away
2019/2020,3,Barcelona,19,9,5,5,34,22,12,32,1.55,Away
2019/2020,4,Atletico Madrid,19,6,10,3,23,16,7,28,1.44,Away
2019/2020,5,Villarreal,19,9,1,9,26,24,2,28,1.08,Away
2019/2020,6,Real Sociedad,19,7,4,8,23,28,-5,25,0.82,Away
2019/2020,7,Getafe,19,6,6,7,18,17,1,24,1.06,Away
2019/2020,8,Osasuna,19,6,6,7,20,25,-5,24,0.8,Away
2019/2020,9,Granada,19,6,5,8,26,29,-3,23,0.9,Away
2019/2020,10,Athletic Bilbao,19,4,8,7,20,24,-4,20,0.83,Away
2019/2020,11,Levante,19,5,2,12,20,34,-14,17,0.59,Away
2019/2020,12,Real Valladolid,19,4,5,10,14,28,-14,17,0.5,Away
2019/2020,13,Leganes,19,3,7,9,13,25,-12,16,0.52,Away
2019/2020,14,Eibar,19,3,6,10,14,31,-17,15,0.45,Away
2019/2020,15,Celta Vigo,19,2,8,9,15,29,-14,14,0.52,Away
2019/2020,16,Espanyol,19,3,4,12,12,27,-15,13,0.44,Away
2019/2020,17,Valencia,19,3,4,12,17,37,-20,13,0.46,Away
2019/2020,18,Deportivo Alaves,19,3,3,13,14,40,-26,12,0.35,Away
2019/2020,19,Real Betis,19,1,7,11,14,33,-19,10,0.42,Away
2019/2020,20,Mallorca,19,1,3,15,15,43,-28,6,0.35,Away
2020/2021,1,Real Madrid,19,12,6,1,34,15,19,42,2.27,Away
2020/2021,2,Barcelona,19,13,2,4,41,18,23,41,2.28,Away
2020/2021,3,Atletico Madrid,19,11,5,3,26,14,12,38,1.86,Away
2020/2021,4,Sevilla,19,10,4,5,26,22,4,34,1.18,Away
2020/2021,5,Real Sociedad,19,8,5,6,25,17,8,29,1.47,Away
2020/2021,6,Villarreal,19,7,7,5,31,21,10,28,1.48,Away
2020/2021,7,Real Betis,19,7,5,7,23,29,-6,26,0.79,Away
2020/2021,8,Cadiz,19,6,6,7,19,28,-9,24,0.68,Away
2020/2021,9,Celta Vigo,19,5,8,6,25,27,-2,23,0.93,Away
2020/2021,10,Osasuna,19,4,6,9,16,25,-9,18,0.64,Away
2020/2021,11,Levante,19,4,5,10,19,27,-8,17,0.7,Away
2020/2021,12,Eibar,19,4,5,10,17,31,-14,17,0.55,Away
2020/2021,13,Athletic Bilbao,19,3,7,9,17,23,-6,16,0.74,Away
2020/2021,14,Real Valladolid,19,2,9,8,15,27,-12,15,0.56,Away
2020/2021,15,Granada,19,4,3,12,22,40,-18,15,0.55,Away
2020/2021,16,Deportivo Alaves,19,3,5,11,15,32,-17,14,0.47,Away
2020/2021,17,Getafe,19,3,5,11,13,30,-17,14,0.43,Away
2020/2021,18,Elche,19,3,4,12,16,32,-16,13,0.5,Away
2020/2021,19,Valencia,19,2,6,11,16,30,-14,12,0.53,Away
2020/2021,20,Huesca,19,2,6,11,17,32,-15,12,0.53,Away
2021/2022,1,Real Madrid,19,13,3,3,36,18,18,42,2,Away
2021/2022,2,Barcelona,19,9,8,2,31,19,12,35,1.63,Away
2021/2022,3,Real Betis,19,9,6,4,28,18,10,33,1.56,Away
2021/2022,4,Atletico Madrid,19,9,3,7,32,27,5,30,1.19,Away
2021/2022,5,Sevilla,19,6,10,3,17,13,4,28,1.31,Away
2021/2022,6,Real Sociedad,19,7,6,6,24,28,-4,27,0.86,Away
2021/2022,7,Osasuna,19,7,4,8,20,25,-5,25,0.8,Away
2021/2022,8,Villarreal,19,6,5,8,23,19,4,23,1.21,Away
2021/2022,9,Valencia,19,5,7,7,22,29,-7,22,0.76,Away
2021/2022,10,Celta Vigo,19,5,6,8,17,20,-3,21,0.85,Away
2021/2022,11,Athletic Bilbao,19,4,9,6,14,18,-4,21,0.78,Away
2021/2022,12,Cadiz,19,5,6,8,16,27,-11,21,0.59,Away
2021/2022,13,Granada,19,3,7,9,22,32,-10,16,0.69,Away
2021/2022,14,Elche,19,4,3,12,16,31,-15,15,0.52,Away
2021/2022,15,Rayo Vallecano,19,3,4,12,13,28,-15,13,0.46,Away
2021/2022,16,Levante,19,3,4,12,23,46,-23,13,0.5,Away
2021/2022,17,Mallorca,19,3,3,13,16,38,-22,12,0.42,Away
2021/2022,18,Getafe,19,1,8,10,12,26,-14,11,0.46,Away
2021/2022,19,Espanyol,19,1,6,12,15,34,-19,9,0.44,Away
2021/2022,20,Deportivo Alaves,19,1,3,15,14,44,-30,6,0.32,Away
2022/2023,1,Barcelona,19,13,1,5,33,16,17,40,2.06,Away
2022/2023,2,Atletico Madrid,19,10,5,4,29,18,11,35,1.61,Away
2022/2023,3,Real Madrid,19,11,1,7,31,20,11,34,1.55,Away
2022/2023,4,Real Sociedad,19,10,3,6,25,19,6,33,1.32,Away
2022/2023,5,Real Betis,19,8,4,7,20,23,-3,28,0.87,Away
2022/2023,6,Villarreal,19,7,4,8,23,22,1,25,1.05,Away
2022/2023,7,Athletic Bilbao,19,6,6,7,25,28,-3,24,0.89,Away
2022/2023,8,Sevilla,19,6,5,8,23,29,-6,23,0.79,Away
2022/2023,9,Osasuna,19,4,7,8,13,21,-8,19,0.62,Away
2022/2023,10,Espanyol,19,4,6,9,25,34,-9,18,0.74,Away
2022/2023,11,Rayo Vallecano,19,4,5,10,17,31,-14,17,0.55,Away
2022/2023,12,Girona,19,3,7,9,23,29,-6,16,0.79,Away
2022/2023,13,Celta Vigo,19,4,4,11,17,32,-15,16,0.53,Away
2022/2023,14,Getafe,19,3,6,10,13,25,-12,15,0.52,Away
2022/2023,15,Mallorca,19,4,3,12,15,31,-16,15,0.48,Away
2022/2023,16,Cadiz,19,3,6,10,11,30,-19,15,0.37,Away
2022/2023,17,Valencia,19,3,4,12,15,26,-11,13,0.58,Away
2022/2023,18,Real Valladolid,19,3,3,13,12,38,-26,12,0.32,Away
2022/2023,19,Elche,19,2,4,13,12,38,-26,10,0.32,Away
2022/2023,20,Almeria,19,1,5,13,20,43,-23,8,0.47,Away
